"title","description","city","contract_type","workday","company_name","salary_min","salary_max","salary_period","salary_currency","teleworking","publish_date"
Enfermero/a Instrumentista - HQS Palmaplanas,"Buscamos un/a enfermero/a con experiencia en Quirófano para cubrir una vacante como instrumentista. Tu misión será la de proporcionar cuidados y atención a los pacientes en quirófano y mantenerte en alerta constante del estado de los mismos siguiendo las instrucciones médicas con el fin de proporcionar unos cuidados asistenciales de excelente calidad conforme a los protocolos y políticas del centro.



Trabajarás en colaboración con médicos, auxiliares de enfermería y otros clínicos para el seguimiento y tratamiento de los pacientes con el fin de mejorar su salud.",Palma de Mallorca,Contrato de duración determinada,Jornada completa,Quirónsalud,,,,,Trabajo solo presencial,2022-01-27
Customer Service and Sales Agent (German) - Dyson,"Dyson - Customer Service and Sales Agent (German)


We are looking for employees to be fluent in German to strengthen our vibrant and motivated customer service and sales team to interact with owners of some of the most innovative and stylish Dyson products in the world.


Dyson is the world market leader in design and technology and regularly launches outstanding innovations onto the market. They are constantly creating bright new products through an array of fields in addition to expanding the markets that they reach. If you thrive on challenge and are excited by change - this could be an exciting career step for you.




Your Daily Tasks:


You will be communicating with clients through different channels such as telephone, email or social media and looking for solutions if they are experiencing difficulties with their order or device.
As you work, you will be using leading edge diagnostic tools and Excel to help guide clients in solving issues with their machines.
In more extenuating circumstances you may agree and arrange to a technician visit or to send additional/spare parts directly to the clients.
You´ll be on the lookout for opportunities to talk with clients about new and exciting products that are regularly launched into the market as well as existing products (cross-selling and up-selling).




The ideal job for you?


Able to speak, read and write fluent in German
Have a good level of English to communicate with our international team.
You appreciate excellent customer service? No matter whether it's a call, email or social media, we want to offer our customers the best possible experience.
Good computer skills and experience with MS Office.



What Benefits Do We Offer?


Fulltime Contract -> 39h week //  (Part-time evening is also possible)
Schedule: Monday to Sunday rotative shifts (between 08:00h to 20:00h) - two weekends off guaranteed per month
Start date: 09th February, 2022
Salary: 25.000€ gross/year (pro-rata for part-time contract shifts) + benefits
Being able to work in an international and friendly work environment!
Outstanding work facilities
Location: La Sagrera, Barcelona




About Us


CPM is an international agency specialized in contact centre and digital marketing solutions. We have been rewarded with numerous awards and have a proven track record of increasing sales and brand awareness for our clients.

CPM International does not discriminate based on race, creed, colour, ethnicity, national origin, religion, sex, sexual orientation, gender expression, age, height, weight, physical or mental ability, veteran status, military obligations, and marital status.


We are looking forward your application!",Barcelona,Contrato indefinido,Jornada completa,CPM INTERNATIONAL TELEBUSINESS,24000,27000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Ingeniero/a Técnico/a Obras Públicas en Prácticas,"Grupo SANDO precisa incorporar un/a Ingeniero/a Técnico/a de Obras Públicas o formación equivalente para una obra de nueva adjudicación en la isla de La Gomera. 

Buscamos a una persona recién titulada, no es necesario aportar experiencia, y que en supervisión de su responsable irá haciéndose cargo poco a poco de las tareas propias de un Jefe de Obra. Siendo las funciones las siguientes principalmente:

- Análisis y revisión del proyecto (revisión de planos, comprobación de mediciones, revisión de pliegos...)
- Gestión administrativa (análisis y revisión del contrato, petición de suministros provisionales, apertura del centro de trabajo...)
- Gestión económica y planificación (planificación temporal de los trabajos, seguimiento del cobro de las certificaciones, control de costes...)
- Contratación y compras (petición de ofertas, realización de solicitudes de compras...)
- Control de ejecución (asesoramiento técnico al encargado, seguimiento de la ejecución de los trabajos, seguridad y salud en la obra...)
- Gestión con Dirección Facultativa, Propiedad y resto de intervinientes.

Grupo Sando, comprometido con el Desarrollo Social, priorizará las candidaturas de personas con discapacidad y colectivos en riesgo de exclusión Social.",Santa Cruz de Tenerife,Contrato otros contratos,Jornada completa,GRUPO SANDO,,,,,Trabajo solo presencial,2022-01-27
COMERCIAL,"Desde Auctree, empresa especializada en cesiones de remate inmobiliarias, con sede en Londres estamos buscando agentes comerciales para ampliar nuestra red de negocio.
Buscamos una persona muy comercial, ambiciosa, dinámica y resolutiva. No hace falta experiencia en el sector, nosotros te ofrecemos toda la formación que necesitas, solo necesitamos tus ganas de crecer dentro de la empresa.
SOBRE NOSOTROS:
Con Auctree puedes encontrar inmuebles increíbles a precios de descuento. Disponemos de cientos de inmuebles embargados y los ofrecemos a unos precios hasta un 50% por debajo del mercado.
Estamos cambiando la forma en la que se compran inmuebles, y ahorrando millones de euros a miles de compradores. Y los propietarios están vendiendo más, más rápido, y con menos costes. A finales de año estaremos gestionando +€450 millones de inmuebles en todas las provincias de España. Y esto solo es el comienzo.
Estamos creciendo (híper) rápido.
En agosto de 2021 realizamos una primera venta de tres millones de inmuebles y en diciembre estábamos gestionando mas de cuarenta. Crecer mas de diez veces en tan solo 6 meses son buenas noticias y es por esta razón que estamos buscando a mas talento.
Estamos construyendo un equipo de gente brillante, ambiciosa y hambrienta. Si crees que tienes el estomago para unirte a esta aventura, sigue leyendo.",Málaga,Contrato otros contratos,Jornada indiferente,INVERBLAMI,1500,4000,MONTH,EUR,Trabajo solo presencial,2022-01-27
TÉCNICO COMERCIAL AUTÓNOMO,"Multinacional líder del sector en Europa y España en tratamientos exclusivos contra la humedad, selecciona para su delegación en CATALUÑA a dos Técnicos comerciales.

- Formación a cargo de la empresa
- Ingresos ilimitados según la valía y predisposición del candidato
- Comisionado por venta regulado mediante contrato mercantil
- Experiencia mínima en ventas de dos años.
- Clientes aportados por la empresa
- Don de gentes y buena presencia.",Barcelona,Contrato autónomo,Jornada completa,"MURPROTEC ESPAÑA, S.L.",36000,46000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Técnico/a de Infraestructuras,"¿Quiénes somos? 
Applus+ es una de las empresas líderes mundiales en el sector de la inspección, los ensayos y la certificación.

¿Qué te aportará unirte a nuestro equipo? 
En Applus+ trabajamos más de 23.000 personas en todo el mundo. Con nosotros formarás parte de un equipo de profesionales cualificados con los cuales podrás compartir inquietudes profesionales. 

¿Cómo será tu día a día?
Una vez que estés con nosotros, ocuparás el cargo de Técnico/a de Infraestructuras y tus días serán muy diferentes. Serás la persona responsable de:
- Colaborar con el Jefe de Unidad en la organización del equipo.
- Realizar el seguimiento de las obras: control de ejecución y seguimiento de la planificación prevista, mediciones y control presupuestario.
- Elaborar el estudio y desarrollo de soluciones de la problemática de obra.
- Calidad: aceptación de materiales y de la correcta ejecución de los ensayos, controles y demás procedimientos de comprobación.
- Redacción de informes y asistencia en la redacción de posibles modificados y/o complementarios.

Se ofrece la posibilidad de desarrollarte a nivel profesional en una de las empresas líderes en su sector. Creemos que seguir aprendiendo es muy importante y para ello, lo mejor es estar rodeado de los mejores profesionales. 
Además de esto, también te ofrecemos: 

- Sports Club. Disponemos de un club deportivo donde encontrarás a otros compañeros y compañeras apasionados del deporte compartiendo aficiones. Además, tendrás a tu disposición descuentos en más de 1.500 gimnasios e instalaciones deportivas.
- Retribución flexible. Podrás escoger a qué destinar parte de tu salario para obtener ventajas fiscales.
- Y otros beneficios que te invitamos a descubrir desde dentro.",A Coruña,Contrato otros contratos,Jornada completa,Applus+,,,,,,2022-01-27
Cambrer/a Viena Barcelona,"A Viena estem buscant algú com tu!! 
Vols incorporar-te a l`equip de Barcelona?

Què esperem de tu?
Busquem un perfil polivalent que pugui treballar en atenció al client i a la cuina. Les funcions principals de la posició són:
·        Atenció als clients, sempre amb el millor dels somriures
·        Preparació i cobrament de les comandes
·        Servei a barra
·        Preparació dels productes de la nostra carta (amanides, entrepans freds i calents)


Se ofrece
·        Una Beca d’Estudis, perquè puguis compaginar els teus estudis amb la feina i seguir formant-te en allò que t’agradi.
·        Disposem de Flexibilitat Horària, ja que volem adaptar-nos a les teves necessitats.
·        Contracte a Temps Parcial, ideal per compaginar amb els teus estudis o aficions.",Barcelona,Contrato a tiempo parcial,Jornada parcial - indiferente,Establiments Viena,,,,,Trabajo solo presencial,2022-01-27
Back office exportación,"En Industrias Peygran, empresa líder en el desarrollo y fabricación de soluciones y componentes técnicos para el sector de la construcción, estamos buscando a un/a back office de exportación. 
Su misión será la de ejecutar las tareas y responsabilidades propias del puesto para asegurar la correcta atención al cliente, así como el seguimiento y gestión de datos administrativos. 

¿Cuáles serán las funciones principales?
·	Gestión y control de las operaciones de exportación, así como, el seguimiento y control de estas. 
·	Gestión de la documentación necesaria para la exportación y gestión de procesos.
·	Chequeos de factura de Transitarios (Aranceles, Iva, Códigos arancelarios.)
·	Colaboración y elaboración del mantenimiento de previsiones de pagos por exportaciones.
·	Seguimiento y análisis de venta.
·	Seguimiento de las incidencias y reclamaciones con clientes de exportación.
·	Formalización créditos documentarios y emisión de órdenes pagos.
·	Seguimiento de ofertas lanzadas y reporte del resultado de dicha promoción.
¿Qué competencias buscamos en ti para desempeñar el puesto? 
·	FP superior en comercio internacional/grado en Turismo
·	Al menos 1 año de experiencia en un puesto de características similares
·	Nivel alto de inglés y francés (valorable otros idiomas)
·	Capacidad de análisis y planificación 
·	Orientación al cliente. 
·	Capacidad para trabajar en equipo. 
·	Disponibilidad para viajar ocasionalmente.

¿Qué condiciones laborales ofrecemos? 
·	Horario partido de lunes a jueves de 8:00 a 14:00 y de 15:00 a 17:30, viernes horario intensivo de 8:00 a 14:00
·	Proyecto estable con posibilidades de crecimiento profesional. 
·	Salario 19000 brutos anuales.
·	Buen ambiente laboral, cuidamos de nuestro equipo.",Ibi,Contrato de duración determinada,Jornada completa,Industrias Peygran s.l.,18000,21000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Operario/a de Limpieza Industrial con DISCAPACIDAD  en empresa ubicada en Sagunto. Jornada Parcial a 35 horas,"Empresa líder en externalización de servicios busca incorporar LIMPIADORES/AS INDUSTRIALES para Sagunto.

Imprescindible contar con Certificado de Discapacidad  igual o superior al 33%.y carnet de conducir y disponibilidad de vehículo propio para acceder al lugar de trabajo.

Funciones:
Limpieza y mantenimiento industrial, recogida de residuos derivados de la producción y recogida de basuras , limpieza de las zonas comunes (vestuarios, pasillos, baños, etc.). Uso de máquina fregadora.
Se ofrece Jornada Parcial de lunes a sábado 35 horas de mañanas
TRABAJO A TURNOS",Sagunto/Sagunt,Contrato otros contratos,Jornada completa,ILUNION FACILITY SERVICES,,,,,Trabajo solo presencial,2022-01-27
Auxiliar de Estación de tren con  DISCAPACIDAD - PARA VALENCIA,"Grupo empresarial socialmente responsable, precisa incorporar Auxiliares de Estación de Tren para VALENCIA

IMPRESCINDIBLE: CONTRA CON CERTIFICADO DE DISCAPACIDAD IGUAL O SUPERIOR AL 33%
NECESIDAD DE ESTAR DE PIE DURANTE LA JORNADA LABORAL
Se ofrece
Contrato Estable a Jornada Completa o Parcial 
Trabajo a Turnos de Lunes a Domingo. 


Funciones:
ÁREA DE MANTENIMIENTO
Apertura y cierre de la estación. Control diario del estado y funcionamiento de los equipos e instalaciones de la estación, reactivándolas en caso de necesidad, tramitando en caso de avería los avisos correspondientes. Control de mobiliario de la estación y otras necesidades logísticas, incluyendo, en su caso, el traslado y colocación de peanas, expositores, papeleras, documentación de archivo, etc. Ordenación de carros en los puntos de anclaje, si existieran, así como acopio, distribución y recuento de los existentes.
ATENCIÓN A CLIENTES Y GESTIÓN DE SERVICIOS DE ESTACIÓN
Atender de forma personalizada las solicitudes de los clientes de información y orientación sobre los diferentes servicios que se prestan en las estaciones.
ATENCIÓN MEDIOS DE INFORMACIÓN A CLIENTES
Controlar y supervisar que la información impresa facilitada, expuesta al público en vitrinas de información, cuadros horarios, expositores, o medios similares existentes, esté vigente y conforme con el servicio que se ofrece a los clientes.
CONTROL DE ACTIVIDADES Y ATENCIÓN SERVICIOS GENERALES
Seguimiento y control diario del estado de limpieza de la estación
Seguimiento y control de aspectos ambientales.
Seguimiento y control de consumos energéticos y de suministros de agua y gas.
Seguimiento y control de equipamientos y medios auxiliares existentes: carros portaequipajes, bancos, vitrinas, etc
COLABORACIÓN EN SITUACIONES DE INCIDENCIA O EMERGENCIAS
Gestión de accidentes de viajeros, incluyendo la atención a clientes
afectados y la cumplimentación de cuanta documentación administrativa y formularios sean necesarios para la correcta prestación del servicio: formularios de notificación de accidente, libro de reclamaciones, etc.
CONTROL Y VIGILANCIA DEL ESTADO DE ACTIVOS Y SEGURIDAD EN LA ESTACIÓN
Revisión y comprobación del estado de los activos de las estaciones. 
OTROS SERVICIOS COMPLEMENTARIOS
Colaboración para la ordenación de accesos de vehículos a la estación.
Colaboración en tareas de control de acceso a salas de embarque, en los casos que se dispusiera de dicho servicio en la estación.",Valencia,Contrato indefinido,Jornada intensiva - indiferente,ILUNION FACILITY SERVICES,15000,18000,YEAR,EUR,Trabajo solo presencial,2022-01-27
TRAINEE (BECARIO/A) Operational Marketing & Sales (Specialized in analyzing data),"The primary purpose of the Internship in Marketing B+H Closure is to support the Closure B+H business development in Western Europe countries. 
Specifically, the intern will support the Product Manager in the monitoring of industry trends, Full packaging strategy development, Communication tools improvement and Sales attack plan construction and setting-up. 

The intern could be based in Sant Cugat del Valles or Aptar Torelló (Spain) and also teleworking.",Sant Cugat del Vallès,Contrato otros contratos,Jornada parcial - mañana,APTAR TORELLO SA.,6000,6000,YEAR,EUR,Teletrabajo posible,2022-01-27
Enfermero/a UCI - HQS Palmaplanas,"Se requiere un/a enfermero/a con experiencia en UCI para proporcionar cuidados intensivos y atención a los pacientes y mantenerse en alerta constante del estado de los mismos siguiendo las instrucciones médicas con el fin de proporcionar unos cuidados asistenciales de excelente calidad conforme a los protocolos y políticas del centro.

Trabajarás en colaboración con médicos, auxiliares de enfermería y otros clínicos para el seguimiento y tratamiento de los pacientes con el fin de mejorar su salud.",Palma de Mallorca,Contrato de duración determinada,Jornada completa,Quirónsalud,,,,,Trabajo solo presencial,2022-01-27
Agente Comercial,"Somos Booksy, ¡encantados de conocerte! Nuestra prioridad es ayudar a profesionales del sector salud y belleza a desarrollar su negocio. Para lograrlo, les proporcionamos herramientas que ayudan a que la gestión de su negocio sea más rápida y sencilla.

Buscamos a personas con pasión en ventas, que se sientan cómodas a la hora de realizar llamadas, conectar y establecer una relación con los dueños de distintos negocios.

Tus funciones:
- Conocer el mercado para tomar las medidas necesarias y adaptarse a las necesidades de los clientes.
- Prospección de clientes, llamadas y visitas a puerta fría.
- Responsabilidad sobre una zona específica de la ciudad (CP) donde tendrás que hacer conocer el valor de Booksy a todos los potenciales negocios del sector.
- Gestión de tu propia cartera de clientes, desde la identificación de la oportunidad hasta el cierre.
- Reuniones con clientes potenciales para identificar sus necesidades, ofrecer Demos y ayudándoles a hacer todo el set up de la aplicación.
- Representación de la empresa en ferias comerciales para atraer clientes actuales y potenciales.

Que ofrecemos:
- Formar parte del equipo del Marketplace más grande del sector Belleza y Salud.
- Apoyo en el desarrollo de tus habilidades y crecimiento profesional, tenemos un Onboarding diseñado para que seas un crack en ventas.
- Trabajar de cerca con otros equipos en un ambiente muy colaborativo.


Valores de Booksy:
#1 People First
#2 Act Like an Owner
#3 Work as a Team
#4 Shoot for the Moon",Sevilla,Contrato indefinido,Jornada completa,BOOKSY,,,,,Trabajo solo presencial,2022-01-27
"Técnico / a de prevención, calidad y medioambiente ( Sector construcción)","Reconocida empresa constructora a nivel nacional, precisa incorporar  técnico / a de prevención, calidad y medio ambiente, para incorporarse en sede ubicada en Barcelona.
 
Como técnico / a de PRL las funciones a realizar serán las siguientes:

 -  Control de seguridad de las diferentes obras (control de condiciones de seguridad en el trabajo, elección de epis, gestión de incidentes y/o accidentes, elaboración de informes de seguridad)
-  Control de subcontratistas.
-  Gestión documentación CAE
-  Redacción de PSS, PAQMA, Planes de gestión de Residuos, Planes de Vigilancia Ambiental, Planes de Emergencia Ambiental...
-  Gestión en obra de los residuos generados. 

Se ofrece: 
-	Remuneración según valía.
-	Posición Estable.
-	Se facilita vehículo de empresa.

Se precisa:
-	Titulación como técnico / a superior en PRL y experiencia previa en sector construcción.",Barcelona,Contrato indefinido,Jornada completa,"CRC OBRAS Y SERVICIOS, S.L.",27000,33000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Matricero,"LINDE WIEMANN, empresa multinacional del sector automoción en pleno crecimiento y con más de 20 plantas a nivel mundial busca un Matricero para la planta situada en Pedrola.

Requisitos:

- Formación Profesional en Fabricación Mecánica
- Experiencia de 2 años  en reparación de matrices en ámbito industrial y trabajo a turnos.
- Experiencia en manejo de máquina-herramienta taller.

Las funciones de la posición son:

- Realización de tareas de mantenimiento de matrices.
- Realización de tareas correctivas in situ.
- Participación en tareas de mejora, modificaciones y optimizaciones de útiles y matrices.
- Gestión administrativa según procedimientos internos.
- Cumplimiento de especificaciones en materia de PRL / Calidad y Medioambiente.",Pedrola,Contrato indefinido,Jornada intensiva - indiferente,LINDE WIEMANN,,,,,Trabajo solo presencial,2022-01-27
TÉCNICO DE MANTENIMIENTO,"¿Tienes experiencia EN MANTENIMIENTO INDUSTRIAL y te encuentras en búsqueda activa de una nueva oportunidad laboral? 

¿Te consideras un perfil polivalente, con capacidad de trabajar en equipo?

Empresa de relevancia del sector de alimentación necesita incorporar de forma estable para sus plantas de ALZIRA (Valencia), con un perfil polivalente, que haya realizado actividades de mantenimiento preventivo y correctivo de los equipos de trabajo de planta Industrial tanto eléctricos, como mecánicos e hidráulicos, que se encargue de reparar las averías de las máquinas, que sepa realizar el arranque de las mismas, que controle y revise las instalaciones y mantenga en buenas condiciones los equipos de trabajo. 

 Además, se necesitará experiencia en soldadura de Tig y de Electrodo.

Somos una empresa en expansión y con invocación continua, por lo que se prevé un aumento de producción conllevando este un aumento de necesidad de incorporar nueva maquinaria en un futuro.

¿Qué ofrecemos? una contratación estable, jornada completa a turnos dependiendo de las instalaciones dónde te incorpores, salario acorde a la valía del candidato/a, plan de formación para desarrollo interno y plan de carrera.

En Eurocebollas valoramos mucho el desarrollo personal de las personas, por esto hemos creado una matriz salarial. Esto significa que el salario es revisable con un variable por; años en la empresa + por experiencia demostrable y por los estudios que posea el empleado/a.",Alzira,Contrato otros contratos,Jornada completa,"Manipulados de cebollas y derivados,S.L.",,,,,Trabajo solo presencial,2022-01-27
Lead Project Controller (based in Germany),"EUMETSAT is Europe's meteorological satellite agency - monitoring the weather and climate from space - 24 hours a day, 365 days a year 

 Working for EUMETSAT, you can make a world of difference and be a part of something that makes a positive impact on society.  You will be at the cutting edge of satellite technology, with a meaningful role in an organisation focused on space-based observations of the Earth's weather and climate. 
 As a member of the Process Assurance and Management Support division (PRS) within the Project Planning and Control Competence Area (PPC-CA), the Lead Project Controller for Copernicus provides project planning and control services to the Copernicus Programme Office. He/she is responsible for cost and budget planning and control, human resource planning, progress and financial reporting and performance indicators for the Copernicus Programme. 

 What you'll be doing 
 · Deliver project planning and control services and periodic financial reporting for the Copernicus Programme, acting as interface for all Copernicus activities towards the Copernicus Programme Office and liaising as appropriate with the Copernicus Finance Coordinator; 
 · Establish and maintain interfaces with the EC and other Partners' Agencies for project control aspects and financial reporting, in line with governing agreements, and report to management any issue requiring attention or resolution; 
 · Ensure conformity of the relevant administrative working practices, with applicable EC requirements, EUMETSAT standards and plans; 
 · Establish medium and long-term manpower needs for Copernicus activities and maintain the associated data; 
 · Provide inputs to the EUMETSAT budget process and coordinate budget and long-term financial planning inputs for all Copernicus activities with involved departments; 
 · Assess in-year and multi-year resource plans (including cost, cash, procurement, schedule) and related risks; analyse deviations from planning and identify related recovery actions; 
 · Provide cost-at-completion and analysis of margins, establishing and maintaining cost baselines and related cost scenarios; 
 · Contribute to the overall harmonisation and improvement of project planning and control processes, standards and methodologies, working practices and tools. 
 · Contribute to the overall harmonisation and improvement of project planning and control processes, standards and methodologies, working practices and tools.",Darmstadt,Contrato indefinido,Jornada completa,Eumetsat,90000,96000,YEAR,EUR,,2022-01-27
ADMINISTRATIVO/OPERATIVO TRAFICO PARA DELEGACION MADRID-LEGANES,"¿Te gustaría trabajar en una empresa estable, sólida, con una gran liderazgo en el mercado y en situacíon de expansión? Si es así LOGIFRIO es tu empresa.
Buscamos un@ administrativ@/operativ@ de tráfico, para que organice y gestione los medios de transporte, para cumplir la planificación de cargas y satisfacer las necesidades y calidad de servicio, exigida por nuestros clientes.
Dependerá de la dirección de Tráfico de nuestra delegación de Leganés (Madrid), a la cual reportará. Trabajará en contacto directo y gestionando conductor@s que realizan el transporte.

Sus principales funciones laborales serán:

- Realizar la coordinación entre las necesidades de carga de los clientes y los medios de transporte, que dispone la empresa. Realizará la programación de trabajo de los medios de transporte para la recogida y carga de mercancía, y el transporte hasta el punto de destino.
- Recibe las ordenes de carga de los clientes que tiene asignados y a su vez asigna a los transportistas, el transporte correspondiente
- Prepara las ordenes de carga en comunicación con el/la transportista y con el punto de expedición de la carga (que puede ser  en la propia empresa o en otra externa). Este trabajo incluye la indicación del lugar y el momento de entrega en destino.
- Lleva el control de las salidas y llegadas de los pedidos (seguimiento de las expediciones)
- Verifica el cumplimiento por parte de vehiculos y conductor@s (o de las empresas proveedoras de transporte, en su caso) de los requisitos y documentación administrativa del transporte.
- Comunicación y resolución de inicdencias",Leganés,Contrato de duración determinada,Jornada intensiva - tarde,Grupo Logifrio,,,,,Trabajo solo presencial,2022-01-27
CARNICERO PROFESIONAL,"Carnicero profesional con experiencia DEMOSTRABLE  en la gestión de carnicería en supermercado.
- Ventas 
- control de stock
- control de personal a su cargo (distribución de  horarios)",Madrid,Contrato indefinido,Jornada completa,"supermercados hiber, s.a.",21000,24000,YEAR,EUR,Trabajo solo presencial,2022-01-27
SEARCH MARKETING MANAGER,"Funciones
Seleccionamos responsable de la optimización SEO global para Barcelo.com, incluyendo tareas y responsabilidades como estrategias de link building, kewyord research, gestión de search console, redirecciones, etc.


La persona seleccionada se encargará de la inversión global en SEM, principalmente en Google, Bing y Yandex, y de la optimización de campañas, tanto de forma interna como con las agencia de medios con las que trabajamos.",Palma de Mallorca,Contrato indefinido,Jornada completa,Barceló Hotel Group,,,,,Trabajo solo presencial,2022-01-27
Dirección Técnica Suplente & Responsable Técnico Almacén,"RESPONSABLE TÉCNICO DE ALMACÉN

* Garantizar que se aplica y se mantiene el sistema de gestión de la calidad;

* Gestión de las actividades autorizadas: Recepción, almacenaje, expedición y distribución de las especialidades farmacéuticas comercializadas y garantizar que se realizan según procedimientos escritos y normativa aplicable;

* Mantener los registros adecuados y verificar la exactitud y la calidad de éstos; 

* Garantizar que se aplican y se mantienen los programas de formación inicial y continua;

* Junto con la dirección técnica de referencia, coordinar y realizar rápidamente todas las operaciones de retirada de medicamentos;

* Garantizar que se traten eficazmente las reclamaciones pertinentes de los clientes;

* Asegurarse de que los proveedores y los clientes estén aprobados;

* Aprobar todas las actividades subcontratadas que puedan incidir en las prácticas de correcta distribución;

* Garantizar que se realicen autoinspecciones con la regularidad adecuada según un programa preestablecido y que se adopten las medidas correctivas necesarias;

* Verificar el cumplimiento de los contratos de los proveedores de servicios necesarios para el funcionamiento del almacén;

* Decidir, en coordinación con la dirección técnica de referencia, sobre el destino final de los productos devueltos, rechazados, retirados o falsificados;

* Control de las condiciones de almacenamiento de materiales y productos.

DIRECTOR TÉCNICO SUPLENTE

* Liberación de lotes al mercado garantizando las normas de correcta fabricación y la autorización de comercialización

* Realizar todas las actividades necesarias en la planta durante la ausencia del director técnico de referencia",Gavà,Contrato indefinido,Jornada indiferente,VIVISOL IBERICA SL.,27000,27000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Strategic Content Coordination Assistant. Digital Production,"The Digital Production Assistant (Multimedia and Video) works under the direct supervision of the Strategic Content Coordinator or Counselor for Public Diplomacy (CPD) designee and has no supervisory responsibilities. Incumbent is responsible for the production of video and multimedia elements of Mission public engagement, including design, creation and/or acquisition of customized video and multimedia content that is disseminated online, in person, or via traditional broadcast. Creates compelling video content for Mission outreach by assessing visual aspects of the Spanish media environment, public preferences for video / multimedia content formats and dissemination channels, and the impact of Mission video and multimedia materials.",Madrid,Contrato indefinido,Jornada completa,Embajada de Estados Unidos DE AMERICA,39000,40000,YEAR,EUR,,2022-01-27
Delineante proyectista,"FUNCIONES:

Gestión documental de obras
Dimensionamiento de obra: planos de estructura, esquemas eléctricos, planos de serie, etc.
Preparación de proyectos técnicos, PSS y documentación final de obra

REQUISITOS

Formación: ciclo superior en Proyectos de Edificación / Proyectos de Obra Civil
Manejo de hojas de cálculo y Autocad
Experiencia en gestión de proyectos renovables
Permiso de conducir B1
Experiencia mínima: 3 años

¿QUÉ OFRECEMOS?

Jornada completa
Formación continua
Estabilidad en el puesto
Salario a convenir",Barro,Contrato indefinido,Jornada completa,"ENERGIA, INNOVACION Y DESARROLLO FOTOVOLTAICO, SOCIEDAD ANONIMA",,,,,Trabajo solo presencial,2022-01-27
Piping Group Lead,"En Technip Energies estamos buscando un/a Líder de Equipo con amplia experiencia en Diseño de Tuberías  para desarrollar proyectos de revamping de plantas industriales en nuestras oficinas de Tarragona.

La persona seleccionada llevará a cabo las siguientes funciones:

- Asumir toda la responsabilidad sobre las actividades de diseño de una unidad asignada.
-Conocer y manejar todas las especificaciones de trabajo aplicables, clases de tuberías, estándares e instrucciones de trabajo que puedan ser necesarias para el correcto desarrollo de su trabajo asignado.
-Transmitir instrucciones y gestionar un equipo de diseño asignado.
-Desarrollar por sí mismo los diseños más críticos y apoyar a los diseñadores menos experimentados.
-Coordinar con otros especialistas involucrados en los estudios (civil, estrés, material, soportes) y las interfaces de seguimiento.


Información Adicional:

Posición estructural con previsión de duración a largo plazo. 

Posibilidad de sistema mixto de teletrabajo y trabajo presencial.

Solo se tendrán en cuenta candidaturas que cuenten con permiso para trabajar en España.

Se tendrán en cuenta candidaturas con certificado de discapacidad.",Tarragona,Contrato de duración determinada,Jornada completa,Technip,,,,,Teletrabajo posible,2022-01-27
Jr Cultural Analyst,"Do you find yourself interested in trends, consumer behavior and brand awareness? Are you curious about social behavior and insights? If that is the case, this job offer is for you!

BMC Strategic Innovation is a global marketing strategy company. We have offices around the world, with passionate, multicultural and multidisciplinary teams. We help increase brand value by seeking innovative and relevant ways to connect with consumers, driving business growth.

We are looking for a Jr Cultural Analyst to join our Madrid Office to work for the EMEA Team (Europe, Middle East and Africa)

We are seeking a team player, a curious and passionate candidate eager to learn about consumer behavior, trends and strategy. To be part of a multicultural team working in branding, strategy and innovation projects.

This is an entry-level position that offers the opportunity to work with international, first-class brands and clients.

No direct experience is required, however, volunteering, internships and work & travel experiences are highly valued.

Requirements and Skills
·	Bachelor degree (Sociology, Anthropology, Political Science).
·	Advance English is mandatory, oral and written. It will be necessary to work in international projects.
·	Fit with BMC Values and Culture: leadership, passion, sensitivity, perspective, accountability and creativity.
·	Ability to work in a fast-paced environment.
·	Ability to manage and prioritize multiple projects.
·	Full time availability.",Madrid,Contrato indefinido,Jornada completa,BMC Innovation,,,,,Teletrabajo posible,2022-01-27
Técnico de Riesgos (Gestión de Seguros),"Buscamos un/a técnico de riesgos para desempeñar las siguientes funciones:

- Identificar, evaluar y definir los riesgos críticos, relevantes y aceptables de la empresa.

- Vigilar el surgimiento de nuevos riesgos que deban ser anticipados.

- Evaluar las políticas y procedimientos existentes 

- Hacer seguimiento y establecer un programa de seguros, incluyendo estándares y requerimientos específicos de aseguramiento coherentes con las necesidades de protección de la organización.

- Controlar las estadísticas sobre pérdidas históricas, prima de seguro y otros factores que impactan en el coste de riesgo.

- Gestionar efectivamente los procesos de reclamaciones a los seguros e indemnizaciones en favor de la organización.

- Velar por el cumplimiento de la legislación vigente.",Vigo,Contrato indefinido,Jornada completa,BIMBA Y LOLA,,,,,Trabajo solo presencial,2022-01-27
